image_path,style,original_filename,label
data\processed\Fauvism\andre-derain_effect-of-sun-on-the-water-london-1906.jpg,Fauvism,andre-derain_effect-of-sun-on-the-water-london-1906.jpg,10
data\processed\Romanticism\francisco-goya_the-military-and-senora.jpg,Romanticism,francisco-goya_the-military-and-senora.jpg,23
data\processed\Realism\taras-shevchenko_andrushi-1845.jpg,Realism,taras-shevchenko_andrushi-1845.jpg,21
data\processed\Rococo\benjamin-west_mr-robert-grafton-and-mrs-mary-partridge-wells-grafton-1773.jpg,Rococo,benjamin-west_mr-robert-grafton-and-mrs-mary-partridge-wells-grafton-1773.jpg,22
data\processed\Ukiyo_e\utagawa-kuniyoshi_tokiwa-gozen-in-the-snow.jpg,Ukiyo_e,utagawa-kuniyoshi_tokiwa-gozen-in-the-snow.jpg,26
data\processed\Impressionism\claude-monet_boats-on-the-beach-at-etretat.jpg,Impressionism,claude-monet_boats-on-the-beach-at-etretat.jpg,12
data\processed\Northern_Renaissance\albrecht-durer_head-of-an-apostle-1508.jpg,Northern_Renaissance,albrecht-durer_head-of-an-apostle-1508.jpg,17
data\processed\Pop_Art\peter-blake_the-beach-boys-1964.jpg,Pop_Art,peter-blake_the-beach-boys-1964.jpg,19
data\processed\Pop_Art\rene-bertholo_o-diabo-a-paraquedista-etc-1997.jpg,Pop_Art,rene-bertholo_o-diabo-a-paraquedista-etc-1997.jpg,19
data\processed\Cubism\marc-chagall_self-portrait-with-palette-1917.jpg,Cubism,marc-chagall_self-portrait-with-palette-1917.jpg,7
data\processed\Naive_Art_Primitivism\henri-rousseau_scout-attacked-by-a-tiger-1904.jpg,Naive_Art_Primitivism,henri-rousseau_scout-attacked-by-a-tiger-1904.jpg,15
data\processed\Synthetic_Cubism\juan-gris_the-packet-of-tobacco-1916.jpg,Synthetic_Cubism,juan-gris_the-packet-of-tobacco-1916.jpg,25
data\processed\New_Realism\george-luks_portrait-of-miss-ruth-breslin-1925.jpg,New_Realism,george-luks_portrait-of-miss-ruth-breslin-1925.jpg,16
data\processed\Symbolism\arnold-bΓö£╨│Γö¼Γòócklin_the-isle-of-the-dead-1880.jpg,Symbolism,arnold-bΓö£╨│Γö¼Γòócklin_the-isle-of-the-dead-1880.jpg,24
data\processed\Abstract_Expressionism\salvador-dali_tolle-tolle-crucifige-eum-john-19-15-1967.jpg,Abstract_Expressionism,salvador-dali_tolle-tolle-crucifige-eum-john-19-15-1967.jpg,0
data\processed\Baroque\rembrandt_a-portrait-of-a-man-with-a-broad-brimmed-hat-and-a-ruff-1638.jpg,Baroque,rembrandt_a-portrait-of-a-man-with-a-broad-brimmed-hat-and-a-ruff-1638.jpg,4
data\processed\Fauvism\david-burliuk_horses-1908.jpg,Fauvism,david-burliuk_horses-1908.jpg,10
data\processed\High_Renaissance\giovanni-bellini_holy-conversation-1510.jpg,High_Renaissance,giovanni-bellini_holy-conversation-1510.jpg,11
data\processed\Romanticism\franz-richard-unterberger_genoa.jpg,Romanticism,franz-richard-unterberger_genoa.jpg,23
data\processed\Realism\george-catlin_a-choctaw-woman-1834.jpg,Realism,george-catlin_a-choctaw-woman-1834.jpg,21
data\processed\Ukiyo_e\kitagawa-utamaro_beauty-at-toilet.jpg,Ukiyo_e,kitagawa-utamaro_beauty-at-toilet.jpg,26
data\processed\Baroque\rembrandt_self-portrait-9.jpg,Baroque,rembrandt_self-portrait-9.jpg,4
data\processed\Minimalism\ruth-vollmer_obelisk-1963.jpg,Minimalism,ruth-vollmer_obelisk-1963.jpg,14
data\processed\Fauvism\janos-mattis-teutsch_violet-landscape-1917.jpg,Fauvism,janos-mattis-teutsch_violet-landscape-1917.jpg,10
data\processed\Baroque\anthony-van-dyck_sir-robert-sherly-1622.jpg,Baroque,anthony-van-dyck_sir-robert-sherly-1622.jpg,4
data\processed\Romanticism\dante-gabriel-rossetti_portrait-of-mrs-georgin-a-fernandez-1874.jpg,Romanticism,dante-gabriel-rossetti_portrait-of-mrs-georgin-a-fernandez-1874.jpg,23
data\processed\Abstract_Expressionism\dan-christensen_bajo-sexto-1984.jpg,Abstract_Expressionism,dan-christensen_bajo-sexto-1984.jpg,0
data\processed\Pop_Art\rosalyn-drexler_lovers-a-k-a-am-i-faris-1963.jpg,Pop_Art,rosalyn-drexler_lovers-a-k-a-am-i-faris-1963.jpg,19
data\processed\Naive_Art_Primitivism\fernando-botero_mona-lisa.jpg,Naive_Art_Primitivism,fernando-botero_mona-lisa.jpg,15
data\processed\High_Renaissance\leonardo-da-vinci_study-of-christ-for-the-last-supper.jpg,High_Renaissance,leonardo-da-vinci_study-of-christ-for-the-last-supper.jpg,11
data\processed\Ukiyo_e\utagawa-kuniyoshi_women-19.jpg,Ukiyo_e,utagawa-kuniyoshi_women-19.jpg,26
data\processed\Fauvism\pyotr-konchalovsky_bakhchisaray-1930-1.jpg,Fauvism,pyotr-konchalovsky_bakhchisaray-1930-1.jpg,10
data\processed\High_Renaissance\leonardo-da-vinci_view-of-a-skull.jpg,High_Renaissance,leonardo-da-vinci_view-of-a-skull.jpg,11
data\processed\Fauvism\hans-hofmann_landscape-1935.jpg,Fauvism,hans-hofmann_landscape-1935.jpg,10
data\processed\Cubism\m.-h.-maxy_market-1920.jpg,Cubism,m.-h.-maxy_market-1920.jpg,7
data\processed\Minimalism\andrei-cadere_untitled-bar.jpg,Minimalism,andrei-cadere_untitled-bar.jpg,14
data\processed\Minimalism\jean-degottex_unknown-title-6.jpg,Minimalism,jean-degottex_unknown-title-6.jpg,14
data\processed\New_Realism\edward-hopper_moonlight-interior.jpg,New_Realism,edward-hopper_moonlight-interior.jpg,16
data\processed\New_Realism\yiannis-tsaroychis_nude-youth-with-oleanders-and-a-bandage-on-his-hand-1940.jpg,New_Realism,yiannis-tsaroychis_nude-youth-with-oleanders-and-a-bandage-on-his-hand-1940.jpg,16
data\processed\Contemporary_Realism\chuck-close_phil-1976.jpg,Contemporary_Realism,chuck-close_phil-1976.jpg,6
data\processed\Pop_Art\billy-apple_photo-of-billy-apple-1964.jpg,Pop_Art,billy-apple_photo-of-billy-apple-1964.jpg,19
data\processed\High_Renaissance\leonardo-da-vinci_head-of-st-james-the-less.jpg,High_Renaissance,leonardo-da-vinci_head-of-st-james-the-less.jpg,11
data\processed\Baroque\peter-paul-rubens_st-george-with-st-maurus-and-papianus.jpg,Baroque,peter-paul-rubens_st-george-with-st-maurus-and-papianus.jpg,4
data\processed\Fauvism\bela-czobel_street-in-southern-france-1935.jpg,Fauvism,bela-czobel_street-in-southern-france-1935.jpg,10
data\processed\Art_Nouveau_Modern\edmund-dulac_i-will-marry-you-from-beauty-and-the-beast.jpg,Art_Nouveau_Modern,edmund-dulac_i-will-marry-you-from-beauty-and-the-beast.jpg,3
data\processed\Rococo\thomas-gainsborough_sophia-charlotte-lady-sheffield-1786.jpg,Rococo,thomas-gainsborough_sophia-charlotte-lady-sheffield-1786.jpg,22
data\processed\High_Renaissance\michelangelo_the-prophet-jeremiah-1512.jpg,High_Renaissance,michelangelo_the-prophet-jeremiah-1512.jpg,11
data\processed\Pointillism\paul-signac_the-dogana-1904.jpg,Pointillism,paul-signac_the-dogana-1904.jpg,18
data\processed\Abstract_Expressionism\cy-twombly_untitled-8.jpg,Abstract_Expressionism,cy-twombly_untitled-8.jpg,0
data\processed\Analytical_Cubism\juan-gris_portrait-of-maurice-raynal-1911.jpg,Analytical_Cubism,juan-gris_portrait-of-maurice-raynal-1911.jpg,2
data\processed\Realism\konstantin-bogaevsky_panorama-of-construction-of-dnieper-hydroelectric-station.jpg,Realism,konstantin-bogaevsky_panorama-of-construction-of-dnieper-hydroelectric-station.jpg,21
data\processed\Color_Field_Painting\sam-francis_reefs-1955.jpg,Color_Field_Painting,sam-francis_reefs-1955.jpg,5
data\processed\Cubism\pablo-picasso_still-life-with-antique-bust-1925.jpg,Cubism,pablo-picasso_still-life-with-antique-bust-1925.jpg,7
data\processed\Naive_Art_Primitivism\tarsila-do-amaral_o-vendedor-de-frutas.jpg,Naive_Art_Primitivism,tarsila-do-amaral_o-vendedor-de-frutas.jpg,15
data\processed\Romanticism\alexander-shilov_violet-with-the-cat-1980(4).jpg,Romanticism,alexander-shilov_violet-with-the-cat-1980(4).jpg,23
data\processed\Abstract_Expressionism\paul-jenkins_phenomena-merlins-mantle.jpg,Abstract_Expressionism,paul-jenkins_phenomena-merlins-mantle.jpg,0
data\processed\Abstract_Expressionism\friedel-dzubas_red-flight-1957.jpg,Abstract_Expressionism,friedel-dzubas_red-flight-1957.jpg,0
data\processed\Post_Impressionism\pyotr-konchalovsky_oak-grove-illuminated-by-the-sun-1920.jpg,Post_Impressionism,pyotr-konchalovsky_oak-grove-illuminated-by-the-sun-1920.jpg,20
data\processed\New_Realism\edward-hopper_early-sunday-morning.jpg,New_Realism,edward-hopper_early-sunday-morning.jpg,16
data\processed\Northern_Renaissance\albrecht-durer_study-of-drapery-1521.jpg,Northern_Renaissance,albrecht-durer_study-of-drapery-1521.jpg,17
data\processed\Realism\ilya-repin_portrait-of-folk-story-teller-v-p-schegolenkov-1879.jpg,Realism,ilya-repin_portrait-of-folk-story-teller-v-p-schegolenkov-1879.jpg,21
data\processed\Ukiyo_e\utagawa-sadatora_woman-sitting-in-front-of-a-screen-titled-fukurokuju.jpg,Ukiyo_e,utagawa-sadatora_woman-sitting-in-front-of-a-screen-titled-fukurokuju.jpg,26
data\processed\Cubism\rafael-zabaleta_drawing-sideboard-tavern-window.jpg,Cubism,rafael-zabaleta_drawing-sideboard-tavern-window.jpg,7
data\processed\Pointillism\theo-van-rysselberghe_the-jetty-1906.jpg,Pointillism,theo-van-rysselberghe_the-jetty-1906.jpg,18
data\processed\Impressionism\pierre-auguste-renoir_landscape-near-cagnes.jpg,Impressionism,pierre-auguste-renoir_landscape-near-cagnes.jpg,12
data\processed\Action_painting\jackson-pollock_number-3(2).jpg,Action_painting,jackson-pollock_number-3(2).jpg,1
data\processed\Symbolism\henri-martin_the-poets-in-the-bois-sacre.jpg,Symbolism,henri-martin_the-poets-in-the-bois-sacre.jpg,24
data\processed\Realism\ilya-repin_christ-with-a-bowl-1894.jpg,Realism,ilya-repin_christ-with-a-bowl-1894.jpg,21
data\processed\Contemporary_Realism\jamie-wyeth_screen-door-to-the-sea-1994.jpg,Contemporary_Realism,jamie-wyeth_screen-door-to-the-sea-1994.jpg,6
data\processed\New_Realism\george-luks_blue-devils-on-fifth-avenue-1918.jpg,New_Realism,george-luks_blue-devils-on-fifth-avenue-1918.jpg,16
data\processed\Symbolism\odilon-redon_the-mysterious-boat.jpg,Symbolism,odilon-redon_the-mysterious-boat.jpg,24
data\processed\Cubism\bela-kadar_still-life-1930.jpg,Cubism,bela-kadar_still-life-1930.jpg,7
data\processed\Art_Nouveau_Modern\henri-de-toulouse-lautrec_m-lender-sitting-1895.jpg,Art_Nouveau_Modern,henri-de-toulouse-lautrec_m-lender-sitting-1895.jpg,3
data\processed\Northern_Renaissance\albrecht-durer_st-jerome-1521.jpg,Northern_Renaissance,albrecht-durer_st-jerome-1521.jpg,17
data\processed\Naive_Art_Primitivism\marc-chagall_self-portrait-1960.jpg,Naive_Art_Primitivism,marc-chagall_self-portrait-1960.jpg,15
data\processed\High_Renaissance\leonardo-da-vinci_drawing-of-lilies-for-an-annunciation.jpg,High_Renaissance,leonardo-da-vinci_drawing-of-lilies-for-an-annunciation.jpg,11
data\processed\Early_Renaissance\sandro-botticelli_virgin-and-child-with-saints-from-the-altarpiece-of-san-barnabas-1488(1).jpg,Early_Renaissance,sandro-botticelli_virgin-and-child-with-saints-from-the-altarpiece-of-san-barnabas-1488(1).jpg,8
data\processed\Baroque\cornelis-de-vos_portrait-of-a-lady-with-a-fan.jpg,Baroque,cornelis-de-vos_portrait-of-a-lady-with-a-fan.jpg,4
data\processed\Pop_Art\hiro-yamagata_judo.jpg,Pop_Art,hiro-yamagata_judo.jpg,19
data\processed\New_Realism\edward-hopper_lighthouse-hill.jpg,New_Realism,edward-hopper_lighthouse-hill.jpg,16
data\processed\Fauvism\mary-fedden_yellow-butterfly-2008.jpg,Fauvism,mary-fedden_yellow-butterfly-2008.jpg,10
data\processed\Romanticism\karl-bodmer_the-cusanusstift-in-bernkastel-kues-1831.jpg,Romanticism,karl-bodmer_the-cusanusstift-in-bernkastel-kues-1831.jpg,23
data\processed\High_Renaissance\raphael_vision-of-the-cross.jpg,High_Renaissance,raphael_vision-of-the-cross.jpg,11
data\processed\Ukiyo_e\ogata-gekko_women-in-daily-life.jpg,Ukiyo_e,ogata-gekko_women-in-daily-life.jpg,26
data\processed\New_Realism\john-french-sloan_cover-of-the-june-1914-issue-of-the-masses.jpg,New_Realism,john-french-sloan_cover-of-the-june-1914-issue-of-the-masses.jpg,16
data\processed\Realism\pyotr-konchalovsky_portrait-of-boris-nikolayevich-yakovlev-1953.jpg,Realism,pyotr-konchalovsky_portrait-of-boris-nikolayevich-yakovlev-1953.jpg,21
data\processed\Synthetic_Cubism\georges-braque_still-life-with-grapes-ii-1918.jpg,Synthetic_Cubism,georges-braque_still-life-with-grapes-ii-1918.jpg,25
data\processed\Fauvism\pyotr-konchalovsky_still-life-oranges-stretcher-and-carpet-1946.jpg,Fauvism,pyotr-konchalovsky_still-life-oranges-stretcher-and-carpet-1946.jpg,10
data\processed\Analytical_Cubism\pablo-picasso_seated-female-nude-1910.jpg,Analytical_Cubism,pablo-picasso_seated-female-nude-1910.jpg,2
data\processed\Color_Field_Painting\ron-gorchov_untitled-1968.jpg,Color_Field_Painting,ron-gorchov_untitled-1968.jpg,5
data\processed\Rococo\maurice-quentin-de-la-tour_preparation-to-the-portrait-of-madame-de-pompadour.jpg,Rococo,maurice-quentin-de-la-tour_preparation-to-the-portrait-of-madame-de-pompadour.jpg,22
data\processed\Naive_Art_Primitivism\niko-pirosmani_doe.jpg,Naive_Art_Primitivism,niko-pirosmani_doe.jpg,15
data\processed\Fauvism\louis-valtat_by-the-sea-1904.jpg,Fauvism,louis-valtat_by-the-sea-1904.jpg,10
data\processed\Fauvism\pyotr-konchalovsky_nude-on-a-background-of-green-sketch-for-painting-woman-at-the-creek-1928.jpg,Fauvism,pyotr-konchalovsky_nude-on-a-background-of-green-sketch-for-painting-woman-at-the-creek-1928.jpg,10
data\processed\Impressionism\camille-pissarro_landscape-at-louveciennes-1870.jpg,Impressionism,camille-pissarro_landscape-at-louveciennes-1870.jpg,12
data\processed\Mannerism_Late_Renaissance\tintoretto_portrait-of-jacopo-soranso.jpg,Mannerism_Late_Renaissance,tintoretto_portrait-of-jacopo-soranso.jpg,13
data\processed\New_Realism\john-french-sloan_jeanne-dubinsky-1942.jpg,New_Realism,john-french-sloan_jeanne-dubinsky-1942.jpg,16
data\processed\Romanticism\richard-parkes-bonington_boulogne-sands-1827.jpg,Romanticism,richard-parkes-bonington_boulogne-sands-1827.jpg,23
data\processed\Realism\boris-kustodiev_vasiliy-nikolsky-old-moscow-1924.jpg,Realism,boris-kustodiev_vasiliy-nikolsky-old-moscow-1924.jpg,21
data\processed\Impressionism\salvador-dali_the-tartan-el-son.jpg,Impressionism,salvador-dali_the-tartan-el-son.jpg,12
data\processed\Abstract_Expressionism\helen-frankenthaler_moving-day-1961.jpg,Abstract_Expressionism,helen-frankenthaler_moving-day-1961.jpg,0
data\processed\Synthetic_Cubism\georges-braque_bottle-of-rum-1914.jpg,Synthetic_Cubism,georges-braque_bottle-of-rum-1914.jpg,25
data\processed\Abstract_Expressionism\john-hoyland_1986-quas-23-1-86.jpg,Abstract_Expressionism,john-hoyland_1986-quas-23-1-86.jpg,0
data\processed\Pointillism\theo-van-rysselberghe_the-schelde-upstream-from-antwerp-after-fog-1892.jpg,Pointillism,theo-van-rysselberghe_the-schelde-upstream-from-antwerp-after-fog-1892.jpg,18
data\processed\Pop_Art\andy-warhol_maria-shriver-1986.jpg,Pop_Art,andy-warhol_maria-shriver-1986.jpg,19
data\processed\Pointillism\marevna-(marie-vorobieff)_two-children-1942.jpg,Pointillism,marevna-(marie-vorobieff)_two-children-1942.jpg,18
data\processed\Abstract_Expressionism\kenzo-okada_red-and-orange-1968.jpg,Abstract_Expressionism,kenzo-okada_red-and-orange-1968.jpg,0
data\processed\Expressionism\ligia-macovei_unknown-title-25.jpg,Expressionism,ligia-macovei_unknown-title-25.jpg,9
data\processed\Rococo\canaletto_venice-the-basin-from-the-giudecca.jpg,Rococo,canaletto_venice-the-basin-from-the-giudecca.jpg,22
data\processed\Rococo\thomas-gainsborough_the-market-cart-1786.jpg,Rococo,thomas-gainsborough_the-market-cart-1786.jpg,22
data\processed\Naive_Art_Primitivism\maria-primachenko_menagerie-1977.jpg,Naive_Art_Primitivism,maria-primachenko_menagerie-1977.jpg,15
data\processed\Symbolism\odilon-redon_severed-head-1878.jpg,Symbolism,odilon-redon_severed-head-1878.jpg,24
data\processed\Realism\vincent-van-gogh_basket-of-potatoes-1885-1(1).jpg,Realism,vincent-van-gogh_basket-of-potatoes-1885-1(1).jpg,21
data\processed\Abstract_Expressionism\sam-francis_untitled-1968.jpg,Abstract_Expressionism,sam-francis_untitled-1968.jpg,0
data\processed\Synthetic_Cubism\georges-braque_bottle-1914.jpg,Synthetic_Cubism,georges-braque_bottle-1914.jpg,25
data\processed\Baroque\gerrit-dou_old-woman-watering-flowers-1665.jpg,Baroque,gerrit-dou_old-woman-watering-flowers-1665.jpg,4
data\processed\Abstract_Expressionism\theodoros-stamos_sentinell-iii-a-1965.jpg,Abstract_Expressionism,theodoros-stamos_sentinell-iii-a-1965.jpg,0
data\processed\Cubism\georges-braque_not_detected_193676.jpg,Cubism,georges-braque_not_detected_193676.jpg,7
data\processed\Art_Nouveau_Modern\ivan-bilibin_costume-design-for-the-opera-fairytale-of-the-tsar-saltan-by-nikolai-rimsky-korsakov-1936(1).jpg,Art_Nouveau_Modern,ivan-bilibin_costume-design-for-the-opera-fairytale-of-the-tsar-saltan-by-nikolai-rimsky-korsakov-1936(1).jpg,3
data\processed\Impressionism\nicolae-grigorescu_andreescu-at-barbizon-1880.jpg,Impressionism,nicolae-grigorescu_andreescu-at-barbizon-1880.jpg,12
data\processed\Minimalism\imi-knoebel_weiss-und-schwarz-3-2009.jpg,Minimalism,imi-knoebel_weiss-und-schwarz-3-2009.jpg,14
data\processed\Early_Renaissance\antonello-da-messina_portrait-of-a-man-trivulzio-portrait-1476.jpg,Early_Renaissance,antonello-da-messina_portrait-of-a-man-trivulzio-portrait-1476.jpg,8
data\processed\Post_Impressionism\henri-catargi_mediteraneean-city-1931.jpg,Post_Impressionism,henri-catargi_mediteraneean-city-1931.jpg,20
data\processed\Pointillism\henri-edmond-cross_in-the-shade-1902.jpg,Pointillism,henri-edmond-cross_in-the-shade-1902.jpg,18
data\processed\Cubism\jacques-villon_taureau-et-g-meaux.jpg,Cubism,jacques-villon_taureau-et-g-meaux.jpg,7
data\processed\Impressionism\john-singer-sargent_portrait-of-miss-clementine-anstruther-thomson.jpg,Impressionism,john-singer-sargent_portrait-of-miss-clementine-anstruther-thomson.jpg,12
data\processed\Symbolism\franz-stuck_evening-star.jpg,Symbolism,franz-stuck_evening-star.jpg,24
data\processed\Baroque\diego-velazquez_two-young-men-eating-at-a-humble-table.jpg,Baroque,diego-velazquez_two-young-men-eating-at-a-humble-table.jpg,4
data\processed\Mannerism_Late_Renaissance\gregorio-lopes_visita-o-1544.jpg,Mannerism_Late_Renaissance,gregorio-lopes_visita-o-1544.jpg,13
data\processed\Fauvism\david-burliuk_women-from-tropics-1921.jpg,Fauvism,david-burliuk_women-from-tropics-1921.jpg,10
data\processed\Ukiyo_e\katsushika-hokusai_irises.jpg,Ukiyo_e,katsushika-hokusai_irises.jpg,26
data\processed\Expressionism\salvador-dali_medea-or-jason-taking-possession-of-the-golden-fleece.jpg,Expressionism,salvador-dali_medea-or-jason-taking-possession-of-the-golden-fleece.jpg,9
data\processed\Mannerism_Late_Renaissance\paolo-veronese_sketch-for-paradise-to-decorate-the-room-of-the-grand-council-of-the-ducal-palace-of-venice-1578.jpg,Mannerism_Late_Renaissance,paolo-veronese_sketch-for-paradise-to-decorate-the-room-of-the-grand-council-of-the-ducal-palace-of-venice-1578.jpg,13
data\processed\Naive_Art_Primitivism\marc-chagall_the-adoration-of-the-golden-calf-1966.jpg,Naive_Art_Primitivism,marc-chagall_the-adoration-of-the-golden-calf-1966.jpg,15
data\processed\Fauvism\ilya-mashkov_portrait-of-a-lady-in-a-chair-1915.jpg,Fauvism,ilya-mashkov_portrait-of-a-lady-in-a-chair-1915.jpg,10
data\processed\Early_Renaissance\andrea-mantegna_the-court-of-the-gonzaga-1474.jpg,Early_Renaissance,andrea-mantegna_the-court-of-the-gonzaga-1474.jpg,8
data\processed\Baroque\bartolome-esteban-murillo_the-annunciation-1680.jpg,Baroque,bartolome-esteban-murillo_the-annunciation-1680.jpg,4
data\processed\Pop_Art\evelyne-axell_le-baiser-1971.jpg,Pop_Art,evelyne-axell_le-baiser-1971.jpg,19
data\processed\Mannerism_Late_Renaissance\sofonisba-anguissola_bernardino-campi-painting-sofonisba-anguissola-1559.jpg,Mannerism_Late_Renaissance,sofonisba-anguissola_bernardino-campi-painting-sofonisba-anguissola-1559.jpg,13
data\processed\Contemporary_Realism\neil-welliver_two-figures-twice-1972.jpg,Contemporary_Realism,neil-welliver_two-figures-twice-1972.jpg,6
data\processed\Synthetic_Cubism\juan-gris_strawberry-jam-1917.jpg,Synthetic_Cubism,juan-gris_strawberry-jam-1917.jpg,25
data\processed\Impressionism\pierre-auguste-renoir_sugar-bowl-1905.jpg,Impressionism,pierre-auguste-renoir_sugar-bowl-1905.jpg,12
data\processed\Color_Field_Painting\morris-louis_faces-1959.jpg,Color_Field_Painting,morris-louis_faces-1959.jpg,5
